id;ville;csp;nbre_enfant;Date;Prix_Multi;Prix_Alim;Nbre_Pro_Multi;Nre-Prd_Ali
8;Aix en Provence-TGV;Agriculteur, Exploitant agricole;2;88/82/2823;8;23;8;2
19;Aix en Provence-TGV;Agriculteur, Exploitant agricole;2;19/82/2823;8;58;8;7
57;Angers;Agriculteur, Exploitant agricole;6;88/82/2823;8;258;8;5
69;Angers;Agriculteur, Exploitant agricole;6;28/82/2823;8;288;8;9
88;Angouleme;Agriculteur, Exploitant agricole;3;83/83/2823;8;135;8;8
93;Arles;Agriculteur, Exploitant agricole;2;16/83/2823;8;64;8;8
184;Arles;Agriculteur, Exploitant agricole;2;86/82/2823;8;541;8;8
143;Bayonne;Agriculteur, Exploitant agricole;1;17/83/2823;8;528;8;23
167;Belfort ;Agriculteur, Exploitant agricole;3;28/82/2823;8;135;8;7
237;Bordeaux;Agriculteur, Exploitant agricole;2;13/83/2823;8;254;8;5
249;Bordeaux;Agriculteur, Exploitant agricole;2;84/82/2823;8;23;8;6
261;Caen;Agriculteur, Exploitant agricole;4;16/82/2823;8;48;8;8
328;Cherbourg;Agriculteur, Exploitant agricole;2;26/82/2823;8;135;8;8
354;Dijon;Agriculteur, Exploitant agricole;4;11/82/2823;8;185;8;8
482;Hendaye;Agriculteur, Exploitant agricole;2;18/82/2823;8;23;8;8
489;Lille Europe;Agriculteur, Exploitant agricole;2;28/83/2823;8;23;8;8
581;Lille Europe;Agriculteur, Exploitant agricole;2;11/82/2823;8;48;8;5
513;Lille Flandres;Agriculteur, Exploitant agricole;1;23/82/2823;8;18;8;9
525;Lille Flandres;Agriculteur, Exploitant agricole;1;87/83/2823;8;41;8;8
584;Marseille;Agriculteur, Exploitant agricole;1;17/83/2823;8;841;8;1
695;Metz;Agriculteur, Exploitant agricole;1;89/82/2823;8;251;8;8
782;Montpellier Saint-Roch;Agriculteur, Exploitant agricole;2;16/82/2823;8;68;8;1
714;Montpellier Saint-Roch;Agriculteur, Exploitant agricole;2;28/82/2823;8;135;8;6
726;Mulhouse;Agriculteur, Exploitant agricole;2;12/83/2823;8;185;8;7
737;Mulhouse;Agriculteur, Exploitant agricole;2;23/83/2823;8;841;8;8
776;Nantes;Agriculteur, Exploitant agricole;2;19/82/2823;8;25;8;3
789;Nantes;Agriculteur, Exploitant agricole;2;84/83/2823;8;68;8;8
881;Nice;Agriculteur, Exploitant agricole;2;16/83/2823;8;135;8;8
813;Nice;Agriculteur, Exploitant agricole;2;87/82/2823;8;185;8;8
825;Nice;Agriculteur, Exploitant agricole;2;19/82/2823;8;541;8;12
837;Nimes;Agriculteur, Exploitant agricole;1;83/83/2823;8;54;8;2
848;Nimes;Agriculteur, Exploitant agricole;1;14/83/2823;8;251;8;12
